diet_type,item_no,name,category,meal,ingredients,serving_size,calories,cholesterol (mg),total_fats (g),protein (g),carbohydrates (g),sugar (g),calcium,sodium (mg),potassium (mg),images
Veg,275,Papaya,Fruit,Snacks,,1 piece(145g),62,0,0.4,0.7,16,11,,12,264,https://th.bing.com/th/id/OIP.nak1Z4i2oAWflE6i3F7qegAAAA?pid=ImgDet&w=200&h=200&rs=1
Veg,276,Fig,Fruit,Snacks,,1 medium(50g),37,0,0.1,0.4,9.6,8.1,,0,116,https://th.bing.com/th/id/OIP.NfwAuSyvAQH9hIrpk1HXhwHaHa?pid=ImgDet&rs=1
Veg,277,Custard Apple,Fruit,Snacks,,1 pulp(250g),235,0,0.7,5.2,59,,,23,618,https://jooinn.com/images/custard-apple-1.jpg
Veg,278,Watermelon,Fruit,Snacks,,1 wedge(286g),86,0,0.4,1.7,22,18,,2.9,320,https://th.bing.com/th/id/OIP.xPvL_Rc3HpbkWkk8S01rVQHaHa?pid=ImgDet&rs=1
Veg,279,Melon,Fruit,Snacks,,1 fruit(177g),60,0,0.3,473,14,14,,28,473,https://www.globalfoodcorridors.com/wp-content/uploads/2019/10/Honeydew-Melon.jpg
Veg,280,Avacado,Fruit,Snacks,,1 avacado(201g),322,0,29,4,17,1.3,,14,975,https://cdn.shopify.com/s/files/1/2971/2126/products/Apricot_Kernel_57ca46cf-ffcc-4f0c-a8e0-931f827efc05_2000x.jpg?v=1528753409
Veg,282,Chickoo,Fruit,Snacks,,1 chickoo(170g),141,0,1.9,0.8,34,,,20,328,https://fruitznveggies.com/wp-content/uploads/2020/09/Chiku.jpg
Veg,283,Raspberry,Fruit,Snacks,,1 raspberry(2g),1,0,0,0,0.2,0.1,,0,3,https://www.kirbysproduce.com/wp-content/uploads/2020/04/raspberries-1.jpg
Veg,284,Green Apple,Fruit,Snacks,,1 medium(182g),95,0,0.3,0.5,25,19,,1.8,195,https://qbuypanda.com/image/cache/catalog/Seller_19/green%20apple-1000x1000.jpg
Veg,285,Saag Paneer,Vegetable,Dinner,"salt, spinach, jalapeno, onion, fresh ginger, sugar, oil, pepper, paneer, bay leaf, fenugreek, cumin seed, garam masala, light cream",1 cup(200g),366,56,30,15,10,4.5,,871,559,https://images.squarespace-cdn.com/content/v1/6057bede2adaca3d2461a22d/1622891136732-CMUKA82PDT6T9WNUK1JS/Saag+paneer+pan+%281%29.jpeg?format=1000w
Veg,286,Paneer Kabab,Starters,Lunch,"marinade, onion, green bell pepper, paneer, red bell pepper",1 skewer(178g),280,41,21,13,12,6.9,,1074,313,https://kebabistaan.com/wp-content/uploads/2019/08/panneer-tikka-kebab.jpg
Veg,287,Matar Paneer,Curry,Dinner,"tomatoe, garlic, green chilie, onion, green pea, ginger, oil, paneer, chili powder, turmeric, ground coriander, cumin seed, masala, water",1 serving(440g),599,69,46,23,25,9.2,,1026,455,"https://static.wixstatic.com/media/05c508_c970fdc02c544518836d416827b20c5e~mv2.jpg/v1/fill/w_1000,h_1000,al_c,q_90,usm_0.66_1.00_0.01/05c508_c970fdc02c544518836d416827b20c5e~mv2.jpg"
Veg,288,Paneer Korma,Curry,Lunch,"curry sauce, paneer",1 cup(236g),367,62,29,17,10,4.1,,633,265,https://www.whiskaffair.com/wp-content/uploads/2019/12/Paneer-Korma-2-3.jpg
Veg,289,Shahi Paneer,Curry,Dinner,"salt, tomato, heavy cream, garlic, clove, cilantro, onion, white sugar, oil, paneer, ground cumin, chili powder, ground turmeric, ground coriander, water",1 cup(242g),310,52,25,12,12,7.2,,555,444,https://b.zmtcdn.com/data/dish_photos/9e2/fc7667d9588a675bb54e7944b00f49e2.jpg
Veg,290,Chilli Paneer,Starters,Dinner,"soy sauce, salt, salt, garlic, corn flour, orn flour, jalapeno, onion, sugar, vegetable oil, vinegar, ketchup, reen pepper, panee, green onion, chili powder, chili powder, chili sauce, water, water",1 cup(233g),366,49,27,15,17,6.7,,1418,322,https://indraprasthaindiancuisine.com/wp-content/uploads/2021/03/GUNTUR-CHILLI-PANEER.jpg
Veg,291,Paneer Masala,Curry,Dinner,"cashew, salt, tomato, cream, butter, jalapeno, ginger, sugar, paneer, bay leaf, chili powder, fenugreek, garam masala, water, water",1 cup(198g),201,41,16,8.2,6.9,3.7,,503,291,https://cuminindiancuisine.com/wp-content/uploads/2021/05/Paneer-Masala.png
Veg,292,Dal Fry,Curry,Lunch,"salt, tomato, lentil, jalapeno, onion, oil, lemon juice, cumin, chili powder, turmeric, fenugreek, cumin seed, garam masala, water, garlic paste, ginger paste, coriander",1 cup(200g),178,0,7.8,8.1,21,3.6,,376,452,https://www.cookwithmanali.com/wp-content/uploads/2019/07/Dal-Fry-Recipe-500x500.jpg
Veg,293,Khoya Paneer Curry,Curry,Lunch,"cashews, tomato, butter, milk, onion, sugar, paneer cheese, bay leaf, cumin, chili powder, fenugreek, garam masala, chili paste, ginger paste, coriander, khoya",1 cup(198g),289,52,19,13,17,11,,493,241,"https://res.cloudinary.com/swiggy/image/upload/f_auto,q_auto,fl_lossy/vwabejuuf5uzrtuzvogb"
Veg,294,Plain Rice,Rice,Dinner,"Water, salt",1 cup(158g),205,0,0.4,4.3,45,0.1,,1.6,55,https://www.seekpng.com/png/full/12-127011_white-rice-white-rice-png.png
Non-veg,295,Indian Chilli Chicken,Poultry,Dinner,"soy sauce ,garlic ,corn flour,egg, green chili pepper,fresh ginger, chili powder,boneless chicken, curry powder, curry powder,green bell pepper",1 cup(214g),277,90,12,21,21,4.4,,355,466,https://fitelo.co/wp-content/uploads/elementor/thumbs/chilli-chicken-p10mrpsol6m0k06409eo26o7t99l954hcfm9lpf18w.jpg
Veg,296,Aloo Jeera,Vegetable,Dinner,"salt, cilantro, jalapeno pepper, potato, lemon juice, chili powder, turmeric, cumin seed",1 cup(143g),172,0,5.6,3.5,28,1.8,,315,727,https://static.toiimg.com/thumb/53540469.cms?imgsize=115272&width=800&height=800
Veg,297,Aloo Gobi,Vegetable,Lunch,"salt, peanut oil, cauliflower, cilantro, potato, fresh ginger, cumin, turmeric, water, serrano pepper, coriander",1 cup(155g),111,0,5.5,2.5,15,1.7,,230,390,https://static.toiimg.com/thumb/52603313.cms?imgsize=371760&width=800&height=800
Veg,298,Carrot Halwa,Desserts,Lunch,"cashew, raisin, carrots, sugar, whole milk, cardamom, ghee",1 cup(228g),275,30,13,5.6,35,30,,103,443,https://www.vegrecipesofindia.com/wp-content/uploads/2021/11/gajar-halwa-carrot-halwa-500x500.jpg
Veg,299,Suji Halwa,Desserts,Lunch,"cashew, almond, semolina, sugar, whole milk, cardamom, ghee",1 serving(122g),318,31,13,4.9,46,30,,52,155,https://www.cookwithmanali.com/wp-content/uploads/2019/09/Sooji-Halwa-500x500.jpg
